omega_eV,eps1,eps2,n,k,alpha_cm1
0.000000000000000000e+00,6.164133999999999780e+00,-0.000000000000000000e+00,2.482767407551500938e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.500000000000000139e-02,6.164805000000000312e+00,5.462999999999999974e-03,2.482902779061634035e+00,1.100123622654415167e-03,2.787545648923487551e+00
5.000000000000000278e-02,6.166819000000000273e+00,1.094299999999999960e-02,2.483309053375262199e+00,2.203310132729251192e-03,1.116570437583959574e+01
7.500000000000001110e-02,6.170182999999999751e+00,1.645600000000000188e-02,2.483987514481462267e+00,3.312416005326666510e-03,2.517947246908655501e+01
1.000000000000000056e-01,6.174906000000000006e+00,2.202099999999999891e-02,2.484939764421847386e+00,4.430892111608883237e-03,4.490882214405352357e+01
1.250000000000000000e-01,6.181002999999999581e+00,2.765400000000000150e-02,2.486168524267736490e+00,5.561569887573303630e-03,7.046085377151696605e+01
1.500000000000000222e-01,6.188493000000000244e+00,3.337400000000000783e-02,2.487677228950049724e+00,6.707863787876904883e-03,1.019802291147137652e+02
1.750000000000000167e-01,6.197398999999999880e+00,3.920200000000000767e-02,2.489470022514886249e+00,7.873563378039349914e-03,1.396528700848561471e+02
2.000000000000000111e-01,6.207747999999999600e+00,4.515899999999999775e-02,2.491551750925616204e+00,9.062424648258527934e-03,1.837024267218058071e+02
2.250000000000000056e-01,6.219572999999999574e+00,5.126800000000000107e-02,2.493928356801683677e+00,1.027856310711110222e-02,2.343988161762453046e+02
2.500000000000000000e-01,6.232912999999999926e+00,5.755500000000000199e-02,2.496606870040784187e+00,1.152664456119593082e-02,2.920676115991622055e+02
2.750000000000000222e-01,6.247810999999999559e+00,6.404600000000000570e-02,2.499594992949654149e+00,1.281127546275453652e-02,3.570800215698845932e+02
3.000000000000000444e-01,6.264317000000000135e+00,7.077200000000001545e-02,2.502901692590302041e+00,1.413799035925311989e-02,4.298821626831476692e+02
3.250000000000000111e-01,6.282488999999999990e+00,7.776800000000000379e-02,2.506537383369378702e+00,1.551303413944328004e-02,5.109996449896068498e+02
3.500000000000000333e-01,6.302392000000000216e+00,8.506900000000001960e-02,2.510513702401856229e+00,1.694254843512960768e-02,6.010177100033024544e+02
3.750000000000000000e-01,6.324099999999999611e+00,9.271999999999999686e-02,2.514843898218184215e+00,1.843454380323445232e-02,7.006548806479635232e+02
4.000000000000000222e-01,6.347697000000000145e+00,1.007699999999999985e-01,2.519542995658943685e+00,1.999767421584431465e-02,8.107369550264062354e+02
4.250000000000000444e-01,6.373277999999999999e+00,1.092760000000000120e-01,2.524627967877652424e+00,2.164200060174880161e-02,9.322380478653186628e+02
4.500000000000000111e-01,6.400949999999999918e+00,1.183020000000000044e-01,2.530117895685297214e+00,2.337875246875743135e-02,1.066287543355738990e+03
4.750000000000000333e-01,6.430837000000000359e+00,1.279260000000000397e-01,2.536034923245866768e+00,2.522165582725252250e-02,1.214248830522378967e+03
5.000000000000000000e-01,6.463074999999999903e+00,1.382390000000000008e-01,2.542403216547706180e+00,2.718667894617298603e-02,1.377738047697400589e+03
5.250000000000000222e-01,6.497823999999999600e+00,1.493490000000000095e-01,2.549251275052626831e+00,2.929271850553783613e-02,1.558689000953270352e+03
5.500000000000000444e-01,6.535262000000000349e+00,1.613839999999999997e-01,2.556610679416966736e+00,3.156209924711796816e-02,1.759418117691231146e+03
5.750000000000000666e-01,6.575593999999999717e+00,1.745030000000000470e-01,2.564517797878005823e+00,3.402257534425993241e-02,1.982784514395139468e+03
6.000000000000000888e-01,6.619056999999999746e+00,1.888940000000000896e-01,2.573014649266360809e+00,3.670674787138485801e-02,2.232223358348583588e+03
6.250000000000000000e-01,6.665920999999999985e+00,2.047960000000000058e-01,2.582149028908401256e+00,3.965611545019481765e-02,2.512063867187845062e+03
6.500000000000000222e-01,6.716498999999999775e+00,2.225030000000000063e-01,2.591976322186284598e+00,4.292149548116296065e-02,2.827669784794838961e+03
6.750000000000000444e-01,6.771150999999999698e+00,2.423869999999999914e-01,2.602560179583949918e+00,4.656703078403905127e-02,3.185831552973567796e+03
