file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\0\boundary_x0.csv,0,0.0,0.0,boundary_x0,au,0.0,42.0,20.650000226875,0,47257382.4952828
sim\snapshots\0\boundary_x1.csv,0,0.0,0.0,boundary_x1,au,0.0,42.0,20.650000226875,0,47257382.4952828
sim\snapshots\0\boundary_y0.csv,0,0.0,0.0,boundary_y0,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\0\boundary_y1.csv,0,0.0,0.0,boundary_y1,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\0\boundary_z0.csv,0,0.0,0.0,boundary_z0,au,1.1250000042650754e-08,42.0,20.65001043312462,0,68535.27380393454
sim\snapshots\0\boundary_z1.csv,0,0.0,0.0,boundary_z1,au,1.1250000042650754e-08,42.0,20.65001043312462,0,68535.27380393454
sim\snapshots\0\dcharge.csv,0,0.0,0.0,dcharge,m^{-3},-2.0374194642231576e+22,1.7591793105348512e+22,-2.8482847715451617e+20,25,2.7678316956891813e+25
sim\snapshots\0\dn.csv,0,0.0,0.0,dn,m^{-3},-1.6342395489524134e+22,2.1241953622752877e+23,1.6556758051216874e+22,10,8.17800731051351e+25
sim\snapshots\0\dnt.csv,0,0.0,0.0,dnt,m^{-3},-1.5391210759900512e+21,2.2142392298430246e+21,-5.1801465179957715e+17,10,3.612268728904532e+24
sim\snapshots\0\dp.csv,0,0.0,0.0,dp,m^{-3},1.1250000042650754e-08,2.1058503995531567e+23,1.6271929444457962e+22,0,6.695929964590584e+25
sim\snapshots\0\dphi.csv,0,0.0,0.0,dphi,V,-2.8003854751586914,0.001224749954417348,-0.7431124488988338,59,268.7482899805907
sim\snapshots\0\dpt.csv,0,0.0,0.0,dpt,m^{-3},1.1250000042650754e-08,2.2009879453918822e+17,1.921484452403452e+16,0,2.1581267398699067e+20
sim\snapshots\0\Ec.csv,0,0.0,0.0,Ec,eV,-3.7161550521850586,0.001224749954417348,-1.486253171834232,59,6063.994544261262
sim\snapshots\0\Efield_y.csv,0,0.0,0.0,Efield_y,au,-14110.8193359375,3128413.25,760809.2436772182,2,2420329136.823139
sim\snapshots\0\Eg.csv,0,0.0,0.0,Eg,eV,1.1250000042650754e-08,1.600000023841858,0.7827722503017568,0,2610.8662056083867
sim\snapshots\0\epsilon_r.csv,0,0.0,0.0,epsilon_r,au,1.1250000042650754e-08,20.0,6.0286651237081665,0,32635.84390247205
sim\snapshots\0\Ev.csv,0,0.0,0.0,Ev,eV,-5.316154956817627,0.001224749954417348,-2.269014980070672,59,8674.862017838695
sim\snapshots\0\Fi.csv,0,0.0,0.0,Fi,eV,-3.8595263957977295,0.001224749954417348,-1.8975900448092635,59,6297.946794256787
sim\snapshots\0\Fn.csv,0,0.0,0.0,Fn,eV,-3.8574187755584717,0.001224749954417348,-1.6735380686053452,59,6294.507595845963
sim\snapshots\0\Fp.csv,0,0.0,0.0,Fp,eV,-4.582446098327637,0.001224749954417348,-2.0393439329394516,59,7477.601575409447
sim\snapshots\0\G_n.csv,0,0.0,0.0,G_n,m^{-3} s^{-1},1.1250000042650754e-08,2.6863240767385013e+28,8.782377020303661e+26,0,4.336803243371118e+31
sim\snapshots\0\G_p.csv,0,0.0,0.0,G_p,m^{-3} s^{-1},1.1250000042650754e-08,2.6863240767385013e+28,8.782377020303661e+26,0,4.336803243371118e+31
sim\snapshots\0\H_joule_device.csv,0,0.0,0.0,H_joule_device,W m^{-3},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jn.csv,0,0.0,0.0,Jn,A m^{-2},-0.703183114528656,220.11260986328125,33.95017879844883,5,359176.954520282
sim\snapshots\0\Jn_all.csv,0,0.0,0.0,Jn_all,A m^{-2},1.1250000042650754e-08,0.001224749954417348,2.0524179580411467e-05,0,2655.260002581369
sim\snapshots\0\Jn_diffusion.csv,0,0.0,0.0,Jn_diffusion,A m^{-2},-271222336.0,1.2453664541244507,-2966711.3023385466,51,442578334245.14935
sim\snapshots\0\Jn_drift.csv,0,0.0,0.0,Jn_drift,A m^{-2},-0.04622254893183708,271222528.0,2966744.8150216984,2,442578288371.18506
sim\snapshots\0\Jn_drift_plus_diffusion.csv,0,0.0,0.0,Jn_drift_plus_diffusion,A m^{-2},-0.6800399422645569,220.11260986328125,33.60184597240971,5,359178.0534563619
sim\snapshots\0\Jn_plus_Jp.csv,0,0.0,0.0,Jn_plus_Jp,A m^{-2},1.1250000042650754e-08,220.1126251220703,108.22204374306115,0,359178.0534563619
sim\snapshots\0\Jn_x.csv,0,0.0,0.0,Jn_x,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jn_x_diffusion.csv,0,0.0,0.0,Jn_x_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jn_x_drift.csv,0,0.0,0.0,Jn_x_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jn_z.csv,0,0.0,0.0,Jn_z,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jn_z_diffusion.csv,0,0.0,0.0,Jn_z_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jn_z_drift.csv,0,0.0,0.0,Jn_z_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jp.csv,0,0.0,0.0,Jp,A m^{-2},2.2687163259149656e-10,220.8157958984375,74.30194715953505,0,63405708.83756731
sim\snapshots\0\Jp_all.csv,0,0.0,0.0,Jp_all,A m^{-2},1.1250000042650754e-08,0.001224749954417348,2.0524179580411467e-05,0,2655.260002581369
sim\snapshots\0\Jp_diffusion.csv,0,0.0,0.0,Jp_diffusion,A m^{-2},-75118840.0,166.412353515625,-1299456.908098093,50,105985588119672.89
sim\snapshots\0\Jp_drift.csv,0,0.0,0.0,Jp_drift,A m^{-2},-6.842108035698402e-08,75119056.0,1299531.5238627812,1,105985584725988.94
sim\snapshots\0\Jp_drift_plus_diffusion.csv,0,0.0,0.0,Jp_drift_plus_diffusion,A m^{-2},-6.82366234627807e-08,220.7926483154297,74.62020996991028,1,73447327.483031
sim\snapshots\0\Jp_x.csv,0,0.0,0.0,Jp_x,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jp_x_diffusion.csv,0,0.0,0.0,Jp_x_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jp_x_drift.csv,0,0.0,0.0,Jp_x_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jp_z.csv,0,0.0,0.0,Jp_z,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jp_z_diffusion.csv,0,0.0,0.0,Jp_z_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\Jp_z_drift.csv,0,0.0,0.0,Jp_z_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\mu_n.csv,0,0.0,0.0,mu_n,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.0027604341573194127,0,19464.71973790856
sim\snapshots\0\mu_n_ft.csv,0,0.0,0.0,mu_n_ft,m^{2} V^{-1} s^{-1},9.999483185918479e-11,0.009999568574130535,0.002760294313393255,0,19463.865838846225
sim\snapshots\0\mu_p.csv,0,0.0,0.0,mu_p,m^{2} V^{-1} s^{-1},1.000000013351432e-10,0.009999999776482582,0.002760443907319546,0,19464.71973790856
sim\snapshots\0\mu_p_ft.csv,0,0.0,0.0,mu_p_ft,m^{2} V^{-1} s^{-1},9.999696209961328e-11,0.009999558329582214,0.0027603042166711297,0,19463.751706266274
sim\snapshots\0\Nad.csv,0,0.0,0.0,Nad,m^{-3},-2.9999999334588925e+23,2.9999999334588925e+23,0.0,13,7.339449425091493e+29
sim\snapshots\0\Nion.csv,0,0.0,0.0,Nion,m^{-3},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\phi.csv,0,0.0,0.0,phi,V,-1.408797025680542,0.001224749954417348,-0.381777783939348,60,100.5404330444917
sim\snapshots\0\Q_nfree.csv,0,0.0,0.0,Q_nfree,m^{-3},3.749999866187181e-09,9.376499468216955e+23,4.939499013636346e+22,0,1.530045252254051e+27
sim\snapshots\0\Q_nfree_and_ntrap.csv,0,0.0,0.0,Q_nfree_and_ntrap,m^{-3},1.1250000042650754e-08,5.115242499962938e+23,5.142579152653834e+22,0,8.3470131616546e+26
sim\snapshots\0\Q_ntrap.csv,0,0.0,0.0,Q_ntrap,m^{-3},1.1250000042650754e-08,8.80047322320558e+22,7.424894881922987e+21,0,1.4360544162553015e+26
sim\snapshots\0\Q_pfree.csv,0,0.0,0.0,Q_pfree,m^{-3},3.749999866187181e-09,6.175359588056457e+23,5.075946092158724e+22,0,2.1568964298703197e+26
sim\snapshots\0\Q_pfree_and_ptrap.csv,0,0.0,0.0,Q_pfree_and_ptrap,m^{-3},1.1250000042650754e-08,5.1086074367039254e+23,4.845356630436131e+22,0,2.2755611301769697e+26
sim\snapshots\0\Q_ptrap.csv,0,0.0,0.0,Q_ptrap,m^{-3},1.1250000042650754e-08,1.8203759150796636e+18,1.1675635362619675e+17,0,2.334184451100383e+21
sim\snapshots\0\Q_total.csv,0,0.0,0.0,Q_total,m^{-3},-5.115242499962938e+23,3.6986147007592475e+23,-2.972224818013871e+21,24,8.3470131616546e+26
sim\snapshots\0\R_n.csv,0,0.0,0.0,R_n,m^{-3} s^{-1},1.1250000042650754e-08,6.063171396281157e+26,5.251560467846617e+25,0,6.783445899980107e+29
sim\snapshots\0\R_nfree_to_pfree.csv,0,0.0,0.0,R_nfree_to_pfree,m^{-3} s^{-1},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\R_p.csv,0,0.0,0.0,R_p,m^{-3} s^{-1},1.1250000042650754e-08,6.063171396281157e+26,5.2515604678467125e+25,0,6.783445899980107e+29
sim\snapshots\0\R_srh_nfree.csv,0,0.0,0.0,R_srh_nfree,m^{-3} s^{-1},1.1250000042650754e-08,6.063171396281157e+26,5.251560467846617e+25,0,6.783445899980107e+29
sim\snapshots\0\R_srh_nfree_to_ptrap.csv,0,0.0,0.0,R_srh_nfree_to_ptrap,m^{-3} s^{-1},1.1250000042650754e-08,2.0547875781717135e+24,1.5873259005983782e+23,0,6.540006054952846e+26
sim\snapshots\0\R_srh_pfree.csv,0,0.0,0.0,R_srh_pfree,m^{-3} s^{-1},1.1250000042650754e-08,6.063171396281157e+26,5.2515604678467125e+25,0,6.783445899980107e+29
sim\snapshots\0\R_srh_pfree_to_ntrap.csv,0,0.0,0.0,R_srh_pfree_to_ntrap,m^{-3} s^{-1},1.1250000042650754e-08,6.0626323824193234e+26,5.2356871078756125e+25,0,6.782986554838667e+29
sim\snapshots\0\R_ss_srh.csv,0,0.0,0.0,R_ss_srh,m^{-3} s^{-1},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\0\sigma_e.csv,0,0.0,0.0,sigma_e,S/m,9.336747615828166e-15,134.60147094726562,1.365521401571605,0,156740793.28080025
sim\snapshots\0\sigma_h.csv,0,0.0,0.0,sigma_h,S/m,7.292186581646669e-16,66.02384948730469,0.7013799035372971,0,93151261.89561976
sim\snapshots\0\Te.csv,0,0.0,0.0,Te,K,1.1250000042650754e-08,300.0,147.50001043312463,0,489537.6790119946
sim\snapshots\0\Th.csv,0,0.0,0.0,Th,K,1.1250000042650754e-08,300.0,147.50001043312463,0,489537.6790119946
sim\snapshots\0\Tl.csv,0,0.0,0.0,Tl,K,1.1250000042650754e-08,300.0,147.50001043312463,0,489537.6790119946
sim\snapshots\0\T_srh_nfree_to_ntrap.csv,0,0.0,0.0,T_srh_nfree_to_ntrap,m^{-3} s^{-1},1.1250000042650754e-08,6.0626323824193234e+26,5.235687107875559e+25,0,6.782986554838667e+29
sim\snapshots\0\T_srh_pfree_to_ptrap.csv,0,0.0,0.0,T_srh_pfree_to_ptrap,m^{-3} s^{-1},1.1250000042650754e-08,2.0547875781717135e+24,1.5873259006025698e+23,0,6.540006054952846e+26
sim\snapshots\1\boundary_x0.csv,1,0.0,0.01,boundary_x0,au,0.0,42.0,20.650000226875,0,47257382.4952828
sim\snapshots\1\boundary_x1.csv,1,0.0,0.01,boundary_x1,au,0.0,42.0,20.650000226875,0,47257382.4952828
sim\snapshots\1\boundary_y0.csv,1,0.0,0.01,boundary_y0,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\1\boundary_y1.csv,1,0.0,0.01,boundary_y1,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\1\boundary_z0.csv,1,0.0,0.01,boundary_z0,au,1.1250000042650754e-08,42.0,20.65001043312462,0,68535.27380393454
sim\snapshots\1\boundary_z1.csv,1,0.0,0.01,boundary_z1,au,1.1250000042650754e-08,42.0,20.65001043312462,0,68535.27380393454
sim\snapshots\1\dcharge.csv,1,0.0,0.01,dcharge,m^{-3},-2.045165205222272e+22,1.7688878328415645e+22,-2.8483950613373878e+20,25,2.7776057157310126e+25
sim\snapshots\1\dn.csv,1,0.0,0.01,dn,m^{-3},-1.633742576733533e+22,2.1242697617411318e+23,1.656152559030699e+22,10,8.179084664827659e+25
sim\snapshots\1\dnt.csv,1,0.0,0.01,dnt,m^{-3},-1.5386517164663861e+21,2.2225841184775655e+21,-4.072695278704176e+17,10,3.6258767758072444e+24
sim\snapshots\1\dp.csv,1,0.0,0.01,dp,m^{-3},1.1250000042650754e-08,2.105925159306971e+23,1.6276686073429175e+22,0,6.691770465087589e+25
sim\snapshots\1\dphi.csv,1,0.0,0.01,dphi,V,-2.7903859615325928,0.001224749954417348,-0.7406622307229854,59,268.746782413414
sim\snapshots\1\dpt.csv,1,0.0,0.01,dpt,m^{-3},1.1250000042650754e-08,2.201062334225449e+17,1.9340997986507316e+16,0,2.2646129631590993e+20
sim\snapshots\1\Ec.csv,1,0.0,0.01,Ec,eV,-3.716156005859375,0.001224749954417348,-1.4887033916243728,59,6063.996100459637
sim\snapshots\1\Efield_y.csv,1,0.0,0.01,Efield_y,au,-14120.1083984375,3125959.75,755221.122450114,2,2420260755.5182877
sim\snapshots\1\Eg.csv,1,0.0,0.01,Eg,eV,1.1250000042650754e-08,1.600000023841858,0.7827722503017568,0,2610.8662056083867
sim\snapshots\1\epsilon_r.csv,1,0.0,0.01,epsilon_r,au,1.1250000042650754e-08,20.0,6.0286651237081665,0,32635.84390247205
sim\snapshots\1\Ev.csv,1,0.0,0.01,Ev,eV,-5.316155910491943,0.001224749954417348,-2.2714651958871697,59,8674.863574037072
sim\snapshots\1\Fi.csv,1,0.0,0.01,Fi,eV,-3.8595263957977295,0.001224749954417348,-1.8975900448092635,59,6297.946794256787
sim\snapshots\1\Fn.csv,1,0.0,0.01,Fn,eV,-3.857419490814209,0.001224749954417348,-1.6757580892968988,59,6294.508762994745
sim\snapshots\1\Fp.csv,1,0.0,0.01,Fp,eV,-4.582447052001953,0.001224749954417348,-2.0419758594760116,59,7477.603131607823
sim\snapshots\1\G_n.csv,1,0.0,0.01,G_n,m^{-3} s^{-1},1.1250000042650754e-08,2.6863240767385013e+28,8.782377020303661e+26,0,4.336803243371118e+31
sim\snapshots\1\G_p.csv,1,0.0,0.01,G_p,m^{-3} s^{-1},1.1250000042650754e-08,2.6863240767385013e+28,8.782377020303661e+26,0,4.336803243371118e+31
sim\snapshots\1\H_joule_device.csv,1,0.0,0.01,H_joule_device,W m^{-3},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn.csv,1,0.0,0.01,Jn,A m^{-2},-0.703221321105957,220.04713439941406,33.94291716152233,5,359070.11249147507
sim\snapshots\1\Jn_all.csv,1,0.0,0.01,Jn_all,A m^{-2},1.1250000042650754e-08,0.001224749954417348,2.0524179580411467e-05,0,2655.260002581369
sim\snapshots\1\Jn_diffusion.csv,1,0.0,0.01,Jn_diffusion,A m^{-2},-271164736.0,1.2455369234085083,-2969438.269152498,51,442484343288.97064
sim\snapshots\1\Jn_drift.csv,1,0.0,0.01,Jn_drift,A m^{-2},-0.046253424137830734,271164960.0,2969472.050169915,2,442484349739.22614
sim\snapshots\1\Jn_drift_plus_diffusion.csv,1,0.0,0.01,Jn_drift_plus_diffusion,A m^{-2},-0.6800783276557922,220.04713439941406,33.594736325382804,5,359071.2111006634
sim\snapshots\1\Jn_plus_Jp.csv,1,0.0,0.01,Jn_plus_Jp,A m^{-2},1.1250000042650754e-08,220.04714965820312,108.18985163999311,0,359071.2111006634
sim\snapshots\1\Jn_x.csv,1,0.0,0.01,Jn_x,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn_x_diffusion.csv,1,0.0,0.01,Jn_x_diffusion,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
sim\snapshots\1\Jn_x_drift.csv,1,0.0,0.01,Jn_x_drift,A m^{-2},0.0,0.001224749954417348,1.0433124620042496e-05,0,65319.39835266823
