file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\0\boundary_x0.csv,0,0.0,0.0,boundary_x0,au,0.0,42.0,18.90000023625,0,50450448.989831276
sim\snapshots\0\boundary_x1.csv,0,0.0,0.0,boundary_x1,au,0.0,42.0,18.90000023625,0,50450448.989831276
sim\snapshots\0\boundary_y0.csv,0,0.0,0.0,boundary_y0,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\0\boundary_y1.csv,0,0.0,0.0,boundary_y1,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\0\boundary_z0.csv,0,0.0,0.0,boundary_z0,au,6.749999670319085e-08,42.0,18.90006147374772,0,68536.32230841492
sim\snapshots\0\boundary_z1.csv,0,0.0,0.0,boundary_z1,au,6.749999670319085e-08,42.0,18.90006147374772,0,68536.32230841492
sim\snapshots\0\dcharge.csv,0,0.0,0.0,dcharge,m^{-3},-1.9953686789624552e+22,1.4284956399057408e+21,-9.008892825740977e+20,4,3.4891813744409063e+25
sim\snapshots\0\dn.csv,0,0.0,0.0,dn,m^{-3},-1.4284956399057408e+21,1.9953686789624552e+22,1.779126826330444e+21,1,3.4891813744409063e+25
sim\snapshots\0\dnt.csv,0,0.0,0.0,dnt,m^{-3},-1.503386877718587e+20,2.1099516250718198e+21,9.79943368323934e+19,1,3.688380681623722e+24
sim\snapshots\0\dp.csv,0,0.0,0.0,dp,m^{-3},6.749999670319085e-08,1.6406730536101029e+22,8.782375553290994e+20,0,2.489683836524605e+25
sim\snapshots\0\dphi.csv,0,0.0,0.0,dphi,V,-2.7757883071899414,0.001224749954417348,-0.6545516374204248,9,632.9809232164824
sim\snapshots\0\dpt.csv,0,0.0,0.0,dpt,m^{-3},6.749999670319085e-08,5.057369088196608e+16,3449324809402349.0,0,8.185757341734307e+19
sim\snapshots\0\Ec.csv,0,0.0,0.0,Ec,eV,-3.657813549041748,0.001224749954417348,-1.3712585831675619,9,5968.8846123697695
sim\snapshots\0\Efield_y.csv,0,0.0,0.0,Efield_y,au,6.749999670319085e-08,2062527.75,736196.4046699263,0,1561705712.3385901
sim\snapshots\0\Eg.csv,0,0.0,0.0,Eg,eV,6.749999670319085e-08,1.600000023841858,0.7158016358818919,0,2610.90617804632
sim\snapshots\0\epsilon_r.csv,0,0.0,0.0,epsilon_r,au,6.749999670319085e-08,20.0,4.849502954384318,0,32636.343206334936
sim\snapshots\0\Ev.csv,0,0.0,0.0,Ev,eV,-5.257813453674316,0.001224749954417348,-2.0869987393412677,9,8579.792027807915
sim\snapshots\0\Fi.csv,0,0.0,0.0,Fi,eV,-3.8595263957977295,0.001224749954417348,-1.7367254043612568,9,6298.043111604351
sim\snapshots\0\Fn.csv,0,0.0,0.0,Fn,eV,-3.8144640922546387,0.001224749954417348,-1.565595021346578,9,6224.509668173054
sim\snapshots\0\Fp.csv,0,0.0,0.0,Fp,eV,-4.532846927642822,0.001224749954417348,-1.8680476809535116,9,7396.779158069815
sim\snapshots\0\G_n.csv,0,0.0,0.0,G_n,m^{-3} s^{-1},6.749999670319085e-08,1.056979900135112e+28,8.220469181101148e+26,0,1.6473096988259927e+31
sim\snapshots\0\G_p.csv,0,0.0,0.0,G_p,m^{-3} s^{-1},6.749999670319085e-08,1.056979900135112e+28,8.220469181101148e+26,0,1.6473096988259927e+31
sim\snapshots\0\H_joule_device.csv,0,0.0,0.0,H_joule_device,W m^{-3},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn.csv,0,0.0,0.0,Jn,A m^{-2},2.2500000085301508e-08,309.12457275390625,45.09507764748314,0,504425.54294740106
sim\snapshots\0\Jn_all.csv,0,0.0,0.0,Jn_all,A m^{-2},6.749999670319085e-08,0.001224749954417348,0.00011177045040255962,0,2366.536216069146
sim\snapshots\0\Jn_diffusion.csv,0,0.0,0.0,Jn_diffusion,A m^{-2},-49586452.0,0.10347870737314224,-2750758.3695935137,8,80916002625.06812
sim\snapshots\0\Jn_drift.csv,0,0.0,0.0,Jn_drift,A m^{-2},6.749999670319085e-08,49586760.0,2750800.138097098,0,80916000789.96158
sim\snapshots\0\Jn_drift_plus_diffusion.csv,0,0.0,0.0,Jn_drift_plus_diffusion,A m^{-2},6.749999670319085e-08,310.11907958984375,41.876487169912096,0,504434.80319556396
sim\snapshots\0\Jn_plus_Jp.csv,0,0.0,0.0,Jn_plus_Jp,A m^{-2},6.749999670319085e-08,309.12457275390625,139.10611921300554,0,504434.80319556396
sim\snapshots\0\Jn_x.csv,0,0.0,0.0,Jn_x,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_x_diffusion.csv,0,0.0,0.0,Jn_x_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_x_drift.csv,0,0.0,0.0,Jn_x_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_z.csv,0,0.0,0.0,Jn_z,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_z_diffusion.csv,0,0.0,0.0,Jn_z_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_z_drift.csv,0,0.0,0.0,Jn_z_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jp.csv,0,0.0,0.0,Jp,A m^{-2},3.387793379161508e-10,309.0872802734375,95.41620920662972,0,209888809.5974674
sim\snapshots\0\Jp_all.csv,0,0.0,0.0,Jp_all,A m^{-2},6.749999670319085e-08,0.001224749954417348,0.00011177045040255962,0,2366.536216069146
sim\snapshots\0\Jp_diffusion.csv,0,0.0,0.0,Jp_diffusion,A m^{-2},-7051151.5,0.001224749954417348,-352864.23421911255,9,9496234846657.021
sim\snapshots\0\Jp_drift.csv,0,0.0,0.0,Jp_drift,A m^{-2},-0.9944902062416077,7051459.5,352961.4672437018,1,8469613830275.783
sim\snapshots\0\Jp_drift_plus_diffusion.csv,0,0.0,0.0,Jp_drift_plus_diffusion,A m^{-2},-0.9944902062416077,308.99853515625,97.22970021420603,1,216308956.93761066
sim\snapshots\0\Jp_x.csv,0,0.0,0.0,Jp_x,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jp_x_diffusion.csv,0,0.0,0.0,Jp_x_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
