file,snapshot,time_s,voltage_V,variable,units_inferred,min,max,mean,negative_count,jump_ratio
sim\snapshots\0\boundary_x0.csv,0,0.0,0.0,boundary_x0,au,0.0,42.0,18.90000023625,0,50450448.989831276
sim\snapshots\0\boundary_x1.csv,0,0.0,0.0,boundary_x1,au,0.0,42.0,18.90000023625,0,50450448.989831276
sim\snapshots\0\boundary_y0.csv,0,0.0,0.0,boundary_y0,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\0\boundary_y1.csv,0,0.0,0.0,boundary_y1,au,201326592.0,201326592.0,201326592.0,0,0.0
sim\snapshots\0\boundary_z0.csv,0,0.0,0.0,boundary_z0,au,6.749999670319085e-08,42.0,18.90006147374772,0,68536.32230841492
sim\snapshots\0\boundary_z1.csv,0,0.0,0.0,boundary_z1,au,6.749999670319085e-08,42.0,18.90006147374772,0,68536.32230841492
sim\snapshots\0\dcharge.csv,0,0.0,0.0,dcharge,m^{-3},-1.6221035864465475e+22,1.250366171219239e+21,-9.390701030403914e+20,4,2.851013490750541e+25
sim\snapshots\0\dn.csv,0,0.0,0.0,dn,m^{-3},-1.2503660304817508e+21,1.820179328997687e+23,9.854601210998347e+21,1,2.9701999782238933e+26
sim\snapshots\0\dnt.csv,0,0.0,0.0,dnt,m^{-3},-1.3183973008996932e+20,1.717184116582049e+21,7.929746749653316e+19,1,3.017268975216955e+24
sim\snapshots\0\dp.csv,0,0.0,0.0,dp,m^{-3},6.749999670319085e-08,1.7728663127523836e+23,8.91553127915902e+21,0,2.8763830514551224e+26
sim\snapshots\0\dphi.csv,0,0.0,0.0,dphi,V,-2.7893614768981934,0.001224749954417348,-0.6511498453710167,9,640.5266555270034
sim\snapshots\0\dpt.csv,0,0.0,0.0,dpt,m^{-3},6.749999670319085e-08,1.8680903560383693e+17,1.159527809178128e+16,0,2.3175286987779962e+20
sim\snapshots\0\Ec.csv,0,0.0,0.0,Ec,eV,-3.6668968200683594,0.001224749954417348,-1.3746603632960408,9,5983.706850553127
sim\snapshots\0\Efield_y.csv,0,0.0,0.0,Efield_y,au,6.749999670319085e-08,2111347.5,747756.5049988736,0,1434869133.8274264
sim\snapshots\0\Eg.csv,0,0.0,0.0,Eg,eV,6.749999670319085e-08,1.600000023841858,0.7158016358818919,0,2610.90617804632
sim\snapshots\0\epsilon_r.csv,0,0.0,0.0,epsilon_r,au,6.749999670319085e-08,20.0,4.849502954384318,0,32636.343206334936
sim\snapshots\0\Ev.csv,0,0.0,0.0,Ev,eV,-5.266896724700928,0.001224749954417348,-2.090400519469747,9,8594.614265991271
sim\snapshots\0\Fi.csv,0,0.0,0.0,Fi,eV,-3.8595263957977295,0.001224749954417348,-1.7367254043612568,9,6298.043111604351
sim\snapshots\0\Fn.csv,0,0.0,0.0,Fn,eV,-3.8235299587249756,0.001224749954417348,-1.568364372352132,9,6239.303505301569
sim\snapshots\0\Fp.csv,0,0.0,0.0,Fp,eV,-4.545055389404297,0.001224749954417348,-1.870866575339803,9,7416.7011363473375
sim\snapshots\0\G_n.csv,0,0.0,0.0,G_n,m^{-3} s^{-1},6.749999670319085e-08,8.791032301798335e+27,6.237690177050829e+26,0,1.3513281578158053e+31
sim\snapshots\0\G_p.csv,0,0.0,0.0,G_p,m^{-3} s^{-1},6.749999670319085e-08,8.791032301798335e+27,6.237690177050829e+26,0,1.3513281578158053e+31
sim\snapshots\0\H_joule_device.csv,0,0.0,0.0,H_joule_device,W m^{-3},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn.csv,0,0.0,0.0,Jn,A m^{-2},2.2500000085301508e-08,249.51805114746094,34.73146166237004,0,407160.37944319734
sim\snapshots\0\Jn_all.csv,0,0.0,0.0,Jn_all,A m^{-2},6.749999670319085e-08,0.001224749954417348,0.00011177045040255962,0,2366.536216069146
sim\snapshots\0\Jn_diffusion.csv,0,0.0,0.0,Jn_diffusion,A m^{-2},-48883488.0,1.1336674690246582,-2709052.950050701,7,79768892013.55371
sim\snapshots\0\Jn_drift.csv,0,0.0,0.0,Jn_drift,A m^{-2},6.749999670319085e-08,48883740.0,2709084.9818660514,0,79768896063.64062
sim\snapshots\0\Jn_drift_plus_diffusion.csv,0,0.0,0.0,Jn_drift_plus_diffusion,A m^{-2},6.749999670319085e-08,250.3932647705078,31.967619374891747,0,407167.85410378827
sim\snapshots\0\Jn_plus_Jp.csv,0,0.0,0.0,Jn_plus_Jp,A m^{-2},6.749999670319085e-08,249.51805114746094,112.28318449010514,0,407167.85410378827
sim\snapshots\0\Jn_x.csv,0,0.0,0.0,Jn_x,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_x_diffusion.csv,0,0.0,0.0,Jn_x_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_x_drift.csv,0,0.0,0.0,Jn_x_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_z.csv,0,0.0,0.0,Jn_z,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_z_diffusion.csv,0,0.0,0.0,Jn_z_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jn_z_drift.csv,0,0.0,0.0,Jn_z_drift,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jp.csv,0,0.0,0.0,Jp,A m^{-2},3.149850380523844e-10,249.05494689941406,78.68594471632295,0,179853225.11092988
sim\snapshots\0\Jp_all.csv,0,0.0,0.0,Jp_all,A m^{-2},6.749999670319085e-08,0.001224749954417348,0.00011177045040255962,0,2366.536216069146
sim\snapshots\0\Jp_diffusion.csv,0,0.0,0.0,Jp_diffusion,A m^{-2},-7008399.5,0.001224749954417348,-350712.4379326011,9,9437688837841.594
sim\snapshots\0\Jp_drift.csv,0,0.0,0.0,Jp_drift,A m^{-2},-0.8752219080924988,7008646.0,350792.76262590935,1,8417396620065.545
sim\snapshots\0\Jp_drift_plus_diffusion.csv,0,0.0,0.0,Jp_drift_plus_diffusion,A m^{-2},-0.8752219080924988,247.91358947753906,80.31562502437421,1,195278471.6560466
sim\snapshots\0\Jp_x.csv,0,0.0,0.0,Jp_x,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
sim\snapshots\0\Jp_x_diffusion.csv,0,0.0,0.0,Jp_x_diffusion,A m^{-2},0.0,0.001224749954417348,6.147374772140779e-05,0,10886.066564024291
